id,review_text,date,rating,expected_sentiment,expected_category,expected_priority
501,Just downloaded it. Will update my review later.,2025-08-06,3,Neutral,Praise,Low
502,This is what every app should aspire to be. Perfect.,2025-09-19,4,Positive,Praise,Low
503,App froze and I lost 28 minutes of work. Not cool.,2026-12-16,1,Negative,Bug / Crash,Critical
504,The setup process has way too many steps. Almost gave up.,2025-05-06,1,Negative,Onboarding,Medium
505,It's OK I guess. Nothing special but it works.,2025-03-17,3,Neutral,Praise,Low
506,The best $20 I spend every month. Worth every penny.,2025-07-19,5,Positive,Praise,Low
507,It works. Not much else to say.,2026-01-24,3,Neutral,Praise,Low
508,Would love to see two-factor auth in a future update. Otherwise fantastic.,2025-06-19,4,Positive,Feature Request,Low
509,Took me 55 minutes just to figure out how to get started.,2025-01-27,1,Negative,Onboarding,Medium
510,"Works as advertised. No complaints, no excitement.",2026-12-10,4,Neutral,Praise,Low
511,Amazing app! It makes delete so much easier.,2025-07-02,5,Positive,Praise,Low
512,"Average app. Not bad, not great.",2026-11-13,3,Neutral,Praise,Low
513,I was charged twice this month. No response from support.,2026-03-09,1,Negative,Pricing / Billing,High
514,Keeps freezing when I delete. Had to force quit 19 times today.,2025-08-12,3,Negative,Bug / Crash,High
515,Absolutely love this app! It does exactly what I need.,2025-05-13,5,Positive,Praise,Low
516,"Works as advertised. No complaints, no excitement.",2025-03-22,3,Neutral,Praise,Low
517,Why did you move the PDF export button? It was fine before.,2025-06-06,2,Negative,UX / Design,Medium
518,Absolutely love this app! It does exactly what I need.,2025-03-28,4,Positive,Praise,Low
519,Great work! Any plans to add multi-account? That would be awesome.,2025-03-05,3,Positive,Feature Request,Low
520,Recommended this to all my friends. Everyone loves it.,2026-08-05,5,Positive,Praise,Low
521,Dark mode is broken — some text is invisible on dark backgrounds.,2025-07-01,1,Negative,UX / Design,High
522,The app works but I wonder if calendar integration is on the roadmap.,2026-08-19,4,Neutral,Feature Request,Low
523,Why did you move the offline mode button? It was fine before.,2025-12-22,2,Negative,UX / Design,Medium
524,Super intuitive. Figured everything out in 42 minutes.,2025-07-01,5,Positive,Praise,Low
525,The app is incredibly laggy since the last update.,2026-10-24,1,Negative,Performance,High
526,Five stars! The team behind this app really cares.,2025-01-20,5,Positive,Praise,Low
527,I keep accidentally tapping the wrong button because they're too close together.,2025-09-13,1,Negative,UX / Design,Medium
528,Outstanding quality. You can tell the developers care about their users.,2025-04-12,4,Positive,Praise,Low
529,It does the basics. dark mode would be a nice addition.,2025-02-15,3,Neutral,Feature Request,Low
530,First review on the App Store. Seems fine so far.,2025-01-02,2,Neutral,Praise,Low
531,Can't figure out how to upload. The UI is not intuitive at all.,2025-04-21,1,Negative,UX / Design,High
532,"Works as advertised. No complaints, no excitement.",2026-05-13,4,Neutral,Praise,Low
533,The new design is terrible. Everything looks the same.,2025-06-20,2,Negative,UX / Design,Medium
534,It does the basics. keyboard shortcuts would be a nice addition.,2026-05-24,3,Neutral,Feature Request,Low
535,The setup process has way too many steps. Almost gave up.,2025-05-26,3,Negative,Onboarding,Medium
536,Screen goes black whenever I share. Bug has been there for weeks.,2025-03-24,2,Negative,Bug / Crash,Critical
537,Decent app. Does what it says.,2025-03-22,4,Neutral,Praise,Low
538,"Clean, intuitive, and fast. Exactly what an app should be.",2026-02-26,3,Positive,Praise,Low
539,Had to watch YouTube videos just to learn basic sync.,2026-01-12,3,Negative,Onboarding,Medium
540,The setup process has way too many steps. Almost gave up.,2026-03-03,2,Negative,Onboarding,Medium
541,It works. Not much else to say.,2025-05-18,4,Neutral,Praise,Low
542,First review on the App Store. Seems fine so far.,2025-03-08,3,Neutral,Praise,Low
543,"Love it, but please add Apple Watch support. That would make it perfect.",2025-01-28,5,Positive,Feature Request,Medium
544,I've been using the app for 6 days and still feel lost.,2025-12-25,2,Negative,Onboarding,Medium
545,Too many taps to do a simple upload. Needs to be simpler.,2025-05-15,2,Negative,UX / Design,Medium
546,Standard planning app. Nothing stands out.,2025-02-27,3,Neutral,Praise,Low
547,This app has changed how I save. Couldn't live without it.,2025-09-27,5,Positive,Praise,Low
548,First review on the App Store. Seems fine so far.,2025-08-10,3,Neutral,Praise,Low
549,Solid app. The only thing missing is the ability to view history.,2026-12-21,5,Positive,Feature Request,Medium
550,This is what every app should aspire to be. Perfect.,2025-10-16,5,Positive,Praise,Low
551,Constant crashes when using templates. Very frustrating.,2025-10-14,1,Negative,Bug / Crash,Critical
552,I keep accidentally tapping the wrong button because they're too close together.,2025-03-10,3,Negative,UX / Design,Medium
553,Keeps freezing when I search. Had to force quit 9 times today.,2025-10-22,2,Negative,Bug / Crash,High
554,Just downloaded it. Will update my review later.,2026-06-01,2,Neutral,Praise,Low
555,App crashes every time I try to edit. Completely unusable.,2025-05-25,1,Negative,Bug / Crash,Critical
556,"No tutorial, no guide, nothing. Just dropped into the app blind.",2025-09-20,1,Negative,Onboarding,Medium
557,Too expensive for what it does. the competition does the same for free.,2026-12-19,2,Negative,Pricing / Billing,Medium
558,It works. Not much else to say.,2025-07-07,2,Neutral,Praise,Low
559,I still don't understand what half the features do after a week.,2025-07-24,1,Negative,Onboarding,Medium
560,Almost perfect. Just needs widgets and it's a 5-star app.,2025-02-05,4,Positive,Feature Request,Medium
561,First review on the App Store. Seems fine so far.,2025-07-26,2,Neutral,Praise,Low
562,Standard note-taking app. Nothing stands out.,2025-06-26,2,Neutral,Praise,Low
563,The free tier is useless. You basically force people to pay.,2025-01-21,1,Negative,Pricing / Billing,Medium
564,"Average app. Not bad, not great.",2025-01-10,3,Neutral,Praise,Low
565,Would be nice to have collaboration. Not a dealbreaker though.,2025-08-15,3,Neutral,Feature Request,Low
566,"Clean, intuitive, and fast. Exactly what an app should be.",2025-09-13,5,Positive,Praise,Low
567,The fonts are way too small. Can barely read anything.,2025-07-10,2,Negative,UX / Design,High
568,Love the attention to detail in this app. Everything just works.,2025-12-26,4,Positive,Praise,Low
569,Recommended this to all my friends. Everyone loves it.,2026-02-19,4,Positive,Praise,Low
570,Why is the sign-up process so complicated? Just let me use the app.,2025-12-19,3,Negative,Onboarding,Medium
571,I keep accidentally tapping the wrong button because they're too close together.,2025-09-06,1,Negative,UX / Design,Medium
572,Amazing app! It makes check notifications so much easier.,2025-07-17,5,Positive,Praise,Low
573,It takes forever to login. Other apps do this instantly.,2025-06-16,2,Negative,Performance,High
574,"Love it, but please add collaboration. That would make it perfect.",2025-01-17,4,Positive,Feature Request,Medium
575,Standard planning app. Nothing stands out.,2025-04-04,3,Neutral,Praise,Low
576,Really enjoy using this. templates would be the cherry on top.,2025-12-28,5,Positive,Feature Request,Low
577,Too many taps to do a simple upload. Needs to be simpler.,2025-10-08,2,Negative,UX / Design,Medium
578,Recommended this to all my friends. Everyone loves it.,2025-10-08,4,Positive,Praise,Low
579,Almost perfect. Just needs custom themes and it's a 5-star app.,2025-03-07,3,Positive,Feature Request,Medium
580,"Average app. Not bad, not great.",2025-04-07,4,Neutral,Praise,Low
581,It works. Not much else to say.,2025-08-06,4,Neutral,Praise,Low
582,It's OK I guess. Nothing special but it works.,2026-08-27,2,Neutral,Praise,Low
583,The app is amazing. My only wish is keyboard shortcuts integration.,2025-07-20,5,Positive,Feature Request,Low
584,Amazing app! It makes edit so much easier.,2025-12-04,5,Positive,Praise,Low
585,I was charged twice this month. No response from support.,2025-05-06,2,Negative,Pricing / Billing,High
586,This app has changed how I export. Couldn't live without it.,2025-08-11,5,Positive,Praise,Low
587,"Average app. Not bad, not great.",2025-02-25,3,Neutral,Praise,Low
588,Takes 7 seconds to load anything. Way too slow.,2025-05-11,2,Negative,Performance,High
589,"Works as advertised. No complaints, no excitement.",2025-07-05,3,Neutral,Praise,Low
590,It's OK I guess. Nothing special but it works.,2026-08-13,3,Neutral,Praise,Low
591,"Every time I try to export, the app just dies. So annoying.",2026-06-18,1,Negative,Bug / Crash,Critical
592,Why is the sign-up process so complicated? Just let me use the app.,2025-01-01,3,Negative,Onboarding,Medium
593,Constant crashes when using calendar integration. Very frustrating.,2025-03-13,2,Negative,Bug / Crash,Critical
594,This is what every app should aspire to be. Perfect.,2026-11-19,4,Positive,Praise,Low
595,This is what every app should aspire to be. Perfect.,2026-01-16,5,Positive,Praise,Low
596,"Average app. Not bad, not great.",2025-01-05,4,Neutral,Praise,Low
597,Absolutely love this app! It does exactly what I need.,2025-03-19,4,Positive,Praise,Low
598,Constant crashes when using voice input. Very frustrating.,2025-11-24,2,Negative,Bug / Crash,Critical
599,"Love it, but please add voice input. That would make it perfect.",2026-11-04,5,Positive,Feature Request,Medium
600,Recommended this to all my friends. Everyone loves it.,2025-03-11,4,Positive,Praise,Low
601,Amazing app! It makes save so much easier.,2025-10-21,5,Positive,Praise,Low
602,Great work! Any plans to add offline mode? That would be awesome.,2026-10-23,5,Positive,Feature Request,Low
603,"Clean, intuitive, and fast. Exactly what an app should be.",2025-05-04,5,Positive,Praise,Low
604,The best $30 I spend every month. Worth every penny.,2026-01-09,5,Positive,Praise,Low
605,The free tier is useless. You basically force people to pay.,2025-09-10,1,Negative,Pricing / Billing,Medium
606,"Clean, intuitive, and fast. Exactly what an app should be.",2026-03-18,5,Positive,Praise,Low
607,"Every time I try to upload, the app just dies. So annoying.",2025-03-11,2,Negative,Bug / Crash,Critical
608,Screen goes black whenever I sign up. Bug has been there for weeks.,2026-11-26,2,Negative,Bug / Crash,Critical
609,The setup process has way too many steps. Almost gave up.,2025-03-06,2,Negative,Onboarding,Medium
610,Absolutely love this app! It does exactly what I need.,2026-03-18,5,Positive,Praise,Low
611,App uses too much battery. Drains 49% in an hour.,2026-06-26,2,Negative,Performance,Medium
612,Hidden fees everywhere. This is not transparent pricing.,2026-05-28,1,Negative,Pricing / Billing,High
613,Lost all my settings because the app crashed mid-login. Unacceptable.,2025-07-21,2,Negative,Bug / Crash,Critical
614,Been using this for 59 months and it just keeps getting better.,2025-10-27,5,Positive,Praise,Low
615,Dark mode is broken — some text is invisible on dark backgrounds.,2025-05-24,2,Negative,UX / Design,High
616,Would love to see widgets in a future update. Otherwise fantastic.,2026-09-25,3,Positive,Feature Request,Low
617,Lost all my settings because the app crashed mid-share. Unacceptable.,2025-12-16,1,Negative,Bug / Crash,Critical
618,The app is amazing. My only wish is custom themes integration.,2026-02-11,5,Positive,Feature Request,Low
619,I keep accidentally tapping the wrong button because they're too close together.,2025-08-15,1,Negative,UX / Design,Medium
620,This app is a game changer. So much better than similar apps.,2026-08-06,4,Positive,Praise,Low
621,It's a organization app. It does organization things.,2025-03-21,2,Neutral,Praise,Low
622,The premium features are not worth the $8/month price tag.,2025-07-24,2,Negative,Pricing / Billing,High
623,Decent app. Does what it says.,2025-11-14,4,Neutral,Praise,Low
624,App crashes on startup since the last update. Can't even open it.,2025-02-24,2,Negative,Bug / Crash,Critical
625,Absolutely love this app! It does exactly what I need.,2026-08-01,5,Positive,Praise,Low
626,The premium features are not worth the $10/month price tag.,2026-03-28,2,Negative,Pricing / Billing,High
627,Solid app. The only thing missing is the ability to update profile.,2025-02-26,5,Positive,Feature Request,Medium
628,Takes 39 seconds to load anything. Way too slow.,2026-12-20,1,Negative,Performance,High
629,Crash after crash after crash. When will you fix this?,2025-06-03,2,Negative,Bug / Crash,Critical
630,Outstanding quality. You can tell the developers care about their users.,2025-03-07,5,Positive,Praise,Low
631,Why did you move the Apple Watch support button? It was fine before.,2025-11-10,2,Negative,UX / Design,Medium
632,"Works as advertised. No complaints, no excitement.",2025-03-11,3,Neutral,Praise,Low
633,App crashes on startup since the last update. Can't even open it.,2025-05-04,2,Negative,Bug / Crash,Critical
634,Lost all my bookmarks because the app crashed mid-save. Unacceptable.,2025-12-10,2,Negative,Bug / Crash,Critical
635,Decent app. Does what it says.,2025-01-10,3,Neutral,Praise,Low
636,Five stars! The team behind this app really cares.,2025-11-22,4,Positive,Praise,Low
637,Almost perfect. Just needs calendar integration and it's a 5-star app.,2026-12-20,4,Positive,Feature Request,Medium
638,Standard organization app. Nothing stands out.,2025-05-10,3,Neutral,Praise,Low
639,App uses too much battery. Drains 48% in an hour.,2025-11-01,2,Negative,Performance,Medium
640,The fonts are way too small. Can barely read anything.,2025-12-07,1,Negative,UX / Design,High
641,Lost all my photos because the app crashed mid-sync. Unacceptable.,2026-10-14,3,Negative,Bug / Crash,Critical
642,Way overpriced compared to alternatives. Not worth it.,2025-12-28,2,Negative,Pricing / Billing,Medium
643,This app is a game changer. So much better than the competition.,2026-11-26,5,Positive,Praise,Low
644,"Average app. Not bad, not great.",2026-07-05,4,Neutral,Praise,Low
645,Outstanding quality. You can tell the developers care about their users.,2025-11-16,5,Positive,Praise,Low
646,It does the basics. cloud backup would be a nice addition.,2025-12-01,3,Neutral,Feature Request,Low
647,Decent app. Does what it says.,2026-02-07,3,Neutral,Praise,Low
648,The app works but I wonder if cloud backup is on the roadmap.,2025-08-22,4,Neutral,Feature Request,Low
649,It takes forever to update profile. Other apps do this instantly.,2025-03-20,1,Negative,Performance,High
650,Took me 34 minutes just to figure out how to get started.,2025-07-16,1,Negative,Onboarding,Medium
651,It's OK I guess. Nothing special but it works.,2025-06-03,4,Neutral,Praise,Low
652,The app works but I wonder if two-factor auth is on the roadmap.,2025-05-25,2,Neutral,Feature Request,Low
653,Standard organization app. Nothing stands out.,2026-12-16,2,Neutral,Praise,Low
654,"Love it, but please add Apple Watch support. That would make it perfect.",2026-11-15,4,Positive,Feature Request,Medium
655,This app is a game changer. So much better than similar apps.,2025-12-17,5,Positive,Praise,Low
656,The search takes 35 seconds to return results. Painfully slow.,2026-12-02,2,Negative,Performance,Medium
657,This is what every app should aspire to be. Perfect.,2025-12-05,5,Positive,Praise,Low
658,The app is incredibly laggy since the last update.,2025-09-11,1,Negative,Performance,High
659,It does the basics. multi-account would be a nice addition.,2025-11-07,3,Neutral,Feature Request,Low
660,It's a organization app. It does organization things.,2025-10-02,2,Neutral,Praise,Low
661,It's a task management app. It does task management things.,2026-07-09,2,Neutral,Praise,Low
662,The app works but I wonder if cloud backup is on the roadmap.,2025-10-23,3,Neutral,Feature Request,Low
663,The app is incredibly laggy since the last update.,2025-07-21,1,Negative,Performance,High
664,Standard task management app. Nothing stands out.,2025-04-05,3,Neutral,Praise,Low
665,It does the basics. PDF export would be a nice addition.,2025-10-25,3,Neutral,Feature Request,Low
666,App froze and I lost 21 minutes of work. Not cool.,2025-07-17,2,Negative,Bug / Crash,Critical
667,Screen goes black whenever I view history. Bug has been there for weeks.,2025-02-11,1,Negative,Bug / Crash,Critical
668,"Clean, intuitive, and fast. Exactly what an app should be.",2025-08-23,5,Positive,Praise,Low
669,"Best app I've used in years. Simple, fast, and reliable.",2025-02-17,5,Positive,Praise,Low
670,The fonts are way too small. Can barely read anything.,2025-09-04,3,Negative,UX / Design,High
671,Solid app. The only thing missing is the ability to save.,2025-01-24,4,Positive,Feature Request,Medium
672,The new design is terrible. Everything looks the same.,2025-04-25,2,Negative,UX / Design,Medium
673,I still don't understand what half the features do after a week.,2025-07-10,2,Negative,Onboarding,Medium
674,"Love it, but please add cloud backup. That would make it perfect.",2026-07-18,4,Positive,Feature Request,Medium
675,The navigation is so confusing. I can never find cloud backup.,2025-06-24,2,Negative,UX / Design,Medium
676,Would love to see Apple Watch support in a future update. Otherwise fantastic.,2025-04-23,5,Positive,Feature Request,Low
677,I've tried 21 other apps and this is by far the best one.,2025-05-03,5,Positive,Praise,Low
678,It takes forever to check notifications. Other apps do this instantly.,2026-03-03,1,Negative,Performance,High
679,The app is incredibly laggy since the last update.,2025-04-16,2,Negative,Performance,High
680,Too expensive for what it does. the competition does the same for free.,2025-05-25,1,Negative,Pricing / Billing,Medium
681,I still don't understand what half the features do after a week.,2025-03-16,1,Negative,Onboarding,Medium
682,"Clean, intuitive, and fast. Exactly what an app should be.",2025-04-08,5,Positive,Praise,Low
683,Would love to see offline mode in a future update. Otherwise fantastic.,2025-03-02,4,Positive,Feature Request,Low
684,"Best app I've used in years. Simple, fast, and reliable.",2025-01-23,5,Positive,Praise,Low
685,Lost all my bookmarks because the app crashed mid-check notifications. Unacceptable.,2025-05-28,1,Negative,Bug / Crash,Critical
686,Would be nice to have calendar integration. Not a dealbreaker though.,2025-04-03,3,Neutral,Feature Request,Low
687,It's a task management app. It does task management things.,2026-07-28,3,Neutral,Praise,Low
688,The best $20 I spend every month. Worth every penny.,2025-08-28,3,Positive,Praise,Low
689,This app has changed how I upload. Couldn't live without it.,2026-06-07,5,Positive,Praise,Low
690,Recommended this to all my friends. Everyone loves it.,2025-12-21,4,Positive,Praise,Low
691,"Clean, intuitive, and fast. Exactly what an app should be.",2025-12-10,4,Positive,Praise,Low
692,The free tier is useless. You basically force people to pay.,2026-08-19,1,Negative,Pricing / Billing,Medium
693,Standard note-taking app. Nothing stands out.,2026-02-14,4,Neutral,Praise,Low
694,The app is incredibly laggy since the last update.,2025-09-25,2,Negative,Performance,High
695,I still don't understand what half the features do after a week.,2026-11-05,1,Negative,Onboarding,Medium
696,Dark mode is broken — some text is invisible on dark backgrounds.,2026-06-18,2,Negative,UX / Design,High
697,Great app! Would be even better with PDF export support.,2025-02-23,4,Positive,Feature Request,Medium
698,The search takes 11 seconds to return results. Painfully slow.,2026-10-12,2,Negative,Performance,Medium
699,Meh. It's fine for what it is.,2025-07-05,3,Neutral,Praise,Low
700,Hidden fees everywhere. This is not transparent pricing.,2025-05-06,2,Negative,Pricing / Billing,High
701,The best $25 I spend every month. Worth every penny.,2025-01-07,5,Positive,Praise,Low
702,Outstanding quality. You can tell the developers care about their users.,2025-02-22,4,Positive,Praise,Low
703,Amazing app! It makes login so much easier.,2025-11-24,5,Positive,Praise,Low
704,It does the basics. cloud backup would be a nice addition.,2026-05-01,3,Neutral,Feature Request,Low
705,The setup process has way too many steps. Almost gave up.,2025-11-26,2,Negative,Onboarding,Medium
706,Colors are ugly and the layout makes no sense.,2025-11-08,2,Negative,UX / Design,Medium
707,The app works but I wonder if calendar integration is on the roadmap.,2025-09-21,4,Neutral,Feature Request,Low
708,Love the attention to detail in this app. Everything just works.,2025-06-06,4,Positive,Praise,Low
709,It takes forever to view history. Other apps do this instantly.,2025-01-05,2,Negative,Performance,High
710,"Average app. Not bad, not great.",2025-05-14,3,Neutral,Praise,Low
711,Been using this for 58 months and it just keeps getting better.,2025-09-16,4,Positive,Praise,Low
712,Decent app. Does what it says.,2025-07-16,3,Neutral,Praise,Low
713,Five stars! The team behind this app really cares.,2025-03-18,5,Positive,Praise,Low
714,I was charged twice this month. No response from support.,2025-10-01,2,Negative,Pricing / Billing,High
715,I've been using the app for 3 days and still feel lost.,2025-05-05,3,Negative,Onboarding,Medium
716,The widgets feature crashes immediately. Please fix this.,2026-10-19,3,Negative,Bug / Crash,High
717,It works. Not much else to say.,2025-11-25,4,Neutral,Praise,Low
718,Outstanding quality. You can tell the developers care about their users.,2026-09-12,4,Positive,Praise,Low
719,It's a organization app. It does organization things.,2026-05-20,3,Neutral,Praise,Low
720,Lost all my notes because the app crashed mid-export. Unacceptable.,2026-12-10,2,Negative,Bug / Crash,Critical
721,"No tutorial, no guide, nothing. Just dropped into the app blind.",2026-08-21,3,Negative,Onboarding,Medium
722,Crash after crash after crash. When will you fix this?,2025-11-03,2,Negative,Bug / Crash,Critical
723,Just downloaded it. Will update my review later.,2025-05-10,3,Neutral,Praise,Low
724,This app is a game changer. So much better than competing products.,2025-07-17,5,Positive,Praise,Low
725,Great work! Any plans to add collaboration? That would be awesome.,2025-09-05,4,Positive,Feature Request,Low
726,The best $8 I spend every month. Worth every penny.,2026-08-13,5,Positive,Praise,Low
727,"Love it, but please add voice input. That would make it perfect.",2026-07-09,5,Positive,Feature Request,Medium
728,The search takes 24 seconds to return results. Painfully slow.,2025-10-19,2,Negative,Performance,Medium
729,The new design is terrible. Everything looks the same.,2026-11-18,2,Negative,UX / Design,Medium
730,This is what every app should aspire to be. Perfect.,2025-04-20,5,Positive,Praise,Low
731,The free tier is useless. You basically force people to pay.,2025-02-19,2,Negative,Pricing / Billing,Medium
732,Been using this for 59 months and it just keeps getting better.,2025-02-07,5,Positive,Praise,Low
733,"Works as advertised. No complaints, no excitement.",2025-01-23,2,Neutral,Praise,Low
734,It works. Not much else to say.,2026-03-13,3,Neutral,Praise,Low
735,This app is a game changer. So much better than competing products.,2025-04-15,4,Positive,Praise,Low
736,This app is a game changer. So much better than similar apps.,2025-05-14,3,Positive,Praise,Low
737,Amazing app! It makes edit so much easier.,2025-05-15,5,Positive,Praise,Low
738,The app is amazing. My only wish is Apple Watch support integration.,2025-08-08,5,Positive,Feature Request,Low
739,The app works but I wonder if keyboard shortcuts is on the roadmap.,2025-09-24,4,Neutral,Feature Request,Low
740,Why is the sign-up process so complicated? Just let me use the app.,2026-09-27,2,Negative,Onboarding,Medium
741,Decent app. Does what it says.,2025-11-27,3,Neutral,Praise,Low
742,Could you consider adding custom themes? Just a suggestion.,2026-04-14,4,Neutral,Feature Request,Low
743,The best $30 I spend every month. Worth every penny.,2025-11-21,4,Positive,Praise,Low
744,The best $30 I spend every month. Worth every penny.,2025-12-06,5,Positive,Praise,Low
745,This app is a game changer. So much better than alternatives.,2025-03-11,5,Positive,Praise,Low
746,"Average app. Not bad, not great.",2025-07-23,3,Neutral,Praise,Low
747,I've tried 21 other apps and this is by far the best one.,2025-08-11,3,Positive,Praise,Low
748,Decent app. Does what it says.,2025-11-16,3,Neutral,Praise,Low
749,"No tutorial, no guide, nothing. Just dropped into the app blind.",2025-12-05,1,Negative,Onboarding,Medium
750,I was charged twice this month. No response from support.,2025-09-07,1,Negative,Pricing / Billing,High
751,Love the attention to detail in this app. Everything just works.,2025-07-21,4,Positive,Praise,Low
752,It's a planning app. It does planning things.,2025-10-17,4,Neutral,Praise,Low
753,It's a task management app. It does task management things.,2025-11-07,3,Neutral,Praise,Low
754,Been using this for 8 months and it just keeps getting better.,2025-11-17,4,Positive,Praise,Low
755,Standard task management app. Nothing stands out.,2026-09-26,3,Neutral,Praise,Low
756,Love the attention to detail in this app. Everything just works.,2025-09-07,4,Positive,Praise,Low
757,I've tried 47 other apps and this is by far the best one.,2025-02-19,5,Positive,Praise,Low
758,"Works as advertised. No complaints, no excitement.",2025-08-03,4,Neutral,Praise,Low
759,Would be nice to have collaboration. Not a dealbreaker though.,2025-10-22,2,Neutral,Feature Request,Low
760,Solid app. The only thing missing is the ability to edit.,2025-04-26,5,Positive,Feature Request,Medium
761,"Average app. Not bad, not great.",2026-09-10,3,Neutral,Praise,Low
762,Hidden fees everywhere. This is not transparent pricing.,2026-02-04,2,Negative,Pricing / Billing,High
763,Solid app. The only thing missing is the ability to save.,2025-10-21,5,Positive,Feature Request,Medium
764,It takes forever to login. Other apps do this instantly.,2025-06-19,1,Negative,Performance,High
765,Amazing app! It makes upload so much easier.,2025-12-08,4,Positive,Praise,Low
766,Too expensive for what it does. the competition does the same for free.,2025-09-01,1,Negative,Pricing / Billing,Medium
767,I've tried 25 other apps and this is by far the best one.,2025-04-13,4,Positive,Praise,Low
768,The welcome screen has too much text and no visuals. Overwhelming.,2026-04-08,1,Negative,Onboarding,Medium
769,Super intuitive. Figured everything out in 12 minutes.,2025-02-03,4,Positive,Praise,Low
770,Recommended this to all my friends. Everyone loves it.,2025-11-08,5,Positive,Praise,Low
771,Almost perfect. Just needs custom themes and it's a 5-star app.,2025-11-02,4,Positive,Feature Request,Medium
772,Standard task management app. Nothing stands out.,2026-08-08,3,Neutral,Praise,Low
773,Super intuitive. Figured everything out in 31 minutes.,2025-06-05,5,Positive,Praise,Low
774,Syncing is extremely slow. Takes 4 minutes for a simple update.,2025-07-14,3,Negative,Performance,Medium
775,App crashes on startup since the last update. Can't even open it.,2025-09-21,1,Negative,Bug / Crash,Critical
776,The fonts are way too small. Can barely read anything.,2025-02-05,2,Negative,UX / Design,High
777,Lost all my photos because the app crashed mid-login. Unacceptable.,2025-06-26,3,Negative,Bug / Crash,Critical
778,Keeps freezing when I search. Had to force quit 21 times today.,2025-08-02,2,Negative,Bug / Crash,High
779,This app is a game changer. So much better than alternatives.,2025-09-14,4,Positive,Praise,Low
780,I still don't understand what half the features do after a week.,2026-02-16,1,Negative,Onboarding,Medium
781,"Every time I try to sync, the app just dies. So annoying.",2025-08-21,1,Negative,Bug / Crash,Critical
782,Just downloaded it. Will update my review later.,2025-09-14,2,Neutral,Praise,Low
783,It takes forever to open settings. Other apps do this instantly.,2025-11-23,1,Negative,Performance,High
784,App crashes on startup since the last update. Can't even open it.,2025-10-22,1,Negative,Bug / Crash,Critical
785,App froze and I lost 37 minutes of work. Not cool.,2025-11-17,1,Negative,Bug / Crash,Critical
786,The app is incredibly laggy since the last update.,2025-03-07,1,Negative,Performance,High
787,The app works but I wonder if multi-account is on the roadmap.,2025-12-03,3,Neutral,Feature Request,Low
788,Super intuitive. Figured everything out in 7 minutes.,2025-06-03,5,Positive,Praise,Low
789,The premium features are not worth the $25/month price tag.,2026-11-14,3,Negative,Pricing / Billing,High
790,Great work! Any plans to add PDF export? That would be awesome.,2026-08-23,3,Positive,Feature Request,Low
791,"Clean, intuitive, and fast. Exactly what an app should be.",2025-02-02,5,Positive,Praise,Low
792,Could you consider adding offline mode? Just a suggestion.,2025-01-11,3,Neutral,Feature Request,Low
793,Takes 15 seconds to load anything. Way too slow.,2025-10-20,1,Negative,Performance,High
794,This app has changed how I login. Couldn't live without it.,2025-09-27,5,Positive,Praise,Low
795,It does the basics. Apple Watch support would be a nice addition.,2025-10-26,3,Neutral,Feature Request,Low
796,Would love to see custom themes in a future update. Otherwise fantastic.,2026-01-05,5,Positive,Feature Request,Low
797,Would be nice to have custom themes. Not a dealbreaker though.,2025-07-20,4,Neutral,Feature Request,Low
798,Almost perfect. Just needs calendar integration and it's a 5-star app.,2026-03-04,3,Positive,Feature Request,Medium
799,Why did you move the Apple Watch support button? It was fine before.,2025-09-19,1,Negative,UX / Design,Medium
800,It takes forever to update profile. Other apps do this instantly.,2025-05-25,1,Negative,Performance,High
801,Amazing app! It makes login so much easier.,2026-01-22,5,Positive,Praise,Low
802,App froze and I lost 10 minutes of work. Not cool.,2025-02-17,1,Negative,Bug / Crash,Critical
803,Way overpriced compared to competing products. Not worth it.,2025-07-14,1,Negative,Pricing / Billing,Medium
804,"Works as advertised. No complaints, no excitement.",2026-10-11,2,Neutral,Praise,Low
805,The new design is terrible. Everything looks the same.,2025-09-09,1,Negative,UX / Design,Medium
806,"Clean, intuitive, and fast. Exactly what an app should be.",2025-07-13,5,Positive,Praise,Low
807,Outstanding quality. You can tell the developers care about their users.,2026-03-26,5,Positive,Praise,Low
808,The widgets feature crashes immediately. Please fix this.,2025-06-11,1,Negative,Bug / Crash,High
809,Outstanding quality. You can tell the developers care about their users.,2025-12-06,3,Positive,Praise,Low
810,This app is a game changer. So much better than similar apps.,2025-04-22,4,Positive,Praise,Low
811,I've tried 17 other apps and this is by far the best one.,2025-07-02,5,Positive,Praise,Low
812,Just downloaded it. Will update my review later.,2025-05-21,4,Neutral,Praise,Low
813,"Love it, but please add two-factor auth. That would make it perfect.",2025-12-02,4,Positive,Feature Request,Medium
814,I've tried 57 other apps and this is by far the best one.,2025-11-04,4,Positive,Praise,Low
815,This is what every app should aspire to be. Perfect.,2025-11-11,5,Positive,Praise,Low
816,Solid app. The only thing missing is the ability to delete.,2025-08-23,5,Positive,Feature Request,Medium
817,I keep accidentally tapping the wrong button because they're too close together.,2025-08-09,1,Negative,UX / Design,Medium
818,Can't figure out how to check notifications. The UI is not intuitive at all.,2025-10-01,2,Negative,UX / Design,High
819,Would be nice to have collaboration. Not a dealbreaker though.,2025-05-05,3,Neutral,Feature Request,Low
820,Could you consider adding cloud backup? Just a suggestion.,2026-01-12,3,Neutral,Feature Request,Low
